repo_name,total_design_smells,total_impl_smells,total_code_smells,God_Class,Feature_Envy,Unutilized_Abstraction,Deficient_Encapsulation,Unexploited_Encapsulation,Multifaceted_Abstraction,Insufficient_Modularization,Hub_Like_Modularization,Cyclically_Dependent_Modularization,Broken_Hierarchy,Rebellious_Hierarchy,Missing_Hierarchy,Wide_Hierarchy,Deep_Hierarchy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Empty_Catch_Clause,Long_Statement,Long_Identifier,Missing_Default,Complex_Conditional
CoreJava,136,564,700,0,0,119,1,0,0,0,0,0,6,0,0,0,0,3,14,0,498,0,7,29,0,6,7
Defeat-JAVA,306,2233,2539,0,0,255,14,0,0,6,0,0,3,0,0,0,0,7,48,7,2033,0,3,105,0,5,24
Dr.Know,2,5,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
ELK-Logger,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GraphSearch,7,30,37,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
HapiFhirClientDemo,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HapiFhirServiceDemo,4,8,12,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0
HelloWorld,44,91,135,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,5,0,83,0,0,2,0,0,1
JAVA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAVA-SAMPLE-CODES,18,31,49,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,2,0,0,0
JAVA_TUTORIAL_PROJECTS,3,14,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0
Java-Appium-Master,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java-Code-Examples,10,26,36,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,1,1
Java-Code-Samples,10,9,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Java-Demo-Application,14,321,335,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,309,0,0,9,0,0,1
Java-Demo-Application-with-Spring-Boot-and-Security,18,27,45,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,13,0,0,1
Java-Examples,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java-Learning,1,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
Java-Sample-Code,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Java-Samples,14,1,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Java-Tutorial,3,16,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0
Java-Tutorial-Projects,1,47,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,0,0,1,0,1,0
Java-application,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java8,64,110,174,0,0,57,3,0,0,0,0,0,2,0,0,0,0,0,0,1,91,0,0,18,0,0,0
JavaApp,13,3,16,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0
JavaBasicTutorial,12,92,104,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
JavaCode,10,7,17,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
JavaCodeSamples,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JavaCodeSnippets,139,260,399,0,0,133,0,0,0,0,0,0,3,0,0,0,0,0,0,0,250,0,1,8,0,1,0
JavaDemoApplication,4,4,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
JavaDemoJenkins,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JavaExamples,25,156,181,0,0,15,2,0,0,2,0,0,0,0,0,0,0,0,1,1,145,0,1,4,0,1,3
JavaExamplesInterviewQuestions,18,28,46,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,2
JavaLearningTutorial,15,3,18,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
JavaPractice,25,66,91,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,1,0,59,0,0,2,0,0,4
JavaProject1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JavaRepository,2,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
JavaSampleCode,65,118,183,0,0,59,2,0,0,0,0,0,0,0,0,0,0,0,1,0,114,0,1,1,0,0,1
JavaSampleCodeForPull,61,240,301,0,0,48,8,0,0,0,0,0,1,0,0,0,0,0,4,8,215,0,0,8,0,3,2
JavaSampleCodeIS2104,52,78,130,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,2,0,71,0,0,0,0,4,1
JavaSampleCodes,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JavaSamples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JavaSamplesCode,5,8,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
JavaSnippets,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JavaTutorial,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JavaTutorialProject,6,11,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
JavaTutorialProjects,94,20,114,0,0,67,13,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
JavaTutorialProjectsGuidedPersonal,2,105,107,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,102,0,0,2,0,0,0
JavaTutorialsProject,24,47,71,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,1,0,42,0,0,2,0,1,1
JavaWithMosh,2,11,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0
Java_MVVM_with_Swing_and_RxJava_Examples,64,374,438,0,0,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,46,3,0,0
Java_SampleCode,36,253,289,0,0,23,11,0,0,1,0,0,0,0,0,0,0,4,12,0,152,0,48,22,0,11,4
Java_Sample_Code,24,228,252,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,5,1,209,0,3,8,0,1,1
Java_Sample_Codes,43,145,188,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,142,0,0,0,0,2,0
Java_Tutorials-Projects,69,670,739,0,0,62,1,0,0,0,0,0,0,0,0,0,0,2,12,1,623,0,0,12,0,3,17
KeyAuth-JAVA-api,1,30,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,7,0,1,0
KodlamaIoJavaTutorialProjectsPart1Eclipse,17,71,88,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,61,0,0,1,0,3,0
KodlamaIoJavaTutorialProjectsPart1Intellij,17,78,95,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,68,0,0,1,0,3,0
MLE5109-Course-samples,87,103,190,0,0,61,11,0,0,0,0,0,6,0,0,0,0,0,0,2,87,0,6,7,0,1,0
MasteringJava,154,198,352,0,0,118,4,0,0,0,0,0,8,0,0,0,0,0,0,1,194,0,0,1,0,2,0
MipSDK-File-Java-Basic,4,3,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Moxtra-Java-Sample-Code,4,12,16,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,2,0,0,4
MyJavaNLayerTrials,6,3,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MyJavaTutorialProject,13,100,113,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,2,1,95,0,0,1,0,0,1
Nick_JavaSampleCode,30,113,143,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,1,6
OpenPgp-BounceCastle-Example,1,15,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,9,0,0,0
Proj11x,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REST-API-Sample,4,17,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0
RssDigesterWithCouchbase,3,5,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
RxJavaDemoApplication,27,85,112,0,0,9,15,0,1,1,0,0,0,0,0,0,0,0,1,3,64,0,0,13,0,0,4
SomeCode,6,5,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
SparkJavaExamples,5,82,87,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,12,0,0,0
SpringBoot-Java-Demo-application,6,4,10,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
TA-Lib-Java-Examples,4,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TensorFlow-Java-Examples,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TestProject,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ThinkingInJava,1051,543,1594,0,0,800,36,2,0,3,0,0,44,0,2,0,0,0,6,5,508,0,0,20,0,3,0
VLC-SCFS004-24-0650,86,261,347,0,0,72,3,0,0,0,0,0,4,0,0,0,0,0,3,1,246,0,0,8,0,2,1
VeraDemoCircleCI,3,74,77,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,62,0,0,8,0,0,0
ViniLibJava,2,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
WebSocket-Demo,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_100DaysOfCode,8,50,58,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,42,0,0,1,0,4,0
akka-java-examples,18,17,35,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0
alfresco-api-java-examples,93,13,106,0,0,26,30,0,0,0,0,0,8,0,0,0,0,0,0,1,2,0,3,7,0,0,0
amazon-kinesis-analytics-beam-taxi-consumer,11,18,29,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,2,0
amazon-kinesis-analytics-streaming-etl,1,16,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,2
amazon-kinesis-data-analytics-flink-benchmarking-utility,4,29,33,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,8,0,0,17,0,0,0
amazon-translate-pdf,4,21,25,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,8,0,0,0
amenity-reservation,8,3,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
amv-trafficsoft-restclient-demo,10,20,30,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0
angular-demo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
api,47,16,63,0,0,38,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,13,2,0,0
appium-java-examples,20,79,99,0,0,14,1,0,0,0,0,0,5,0,0,0,0,0,0,0,49,0,0,30,0,0,0
auth0-full-stack-java-example,76,197,273,0,0,58,6,0,0,4,0,0,1,0,0,0,0,0,3,2,21,0,1,162,7,0,1
aws-amplify-example-recipe-app-react-native,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aws-athena-udfs-textanalytics,2,76,78,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,24,0,0,43,4,1,0
aws-cognito-java-desktop-app,6,160,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,0,2,14,0,1,1
aws-lambda-api-java-example,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
azure-cafe,2,7,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0
azure-cosmos-cassandra-extensions-java-sample,2,13,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,4,0,0,0
azure-cosmos-cassandra-extensions-java-sample-v4,1,10,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,0,0,0
azure-functions-samples-java,43,37,80,0,0,31,10,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,20,0,0,0
azure-search-java-samples,20,80,100,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,34,0,1,44,0,0,0
azure-spring-data-cosmos-java-sql-api-samples,2,6,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0
azure4j-blog-samples,25,47,72,0,0,11,3,0,0,10,0,0,0,0,0,0,0,0,0,1,18,0,12,14,2,0,0
azurejava,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
basyx-java-examples,261,336,597,0,0,189,32,0,0,15,0,0,5,0,0,0,0,0,2,47,88,0,10,145,30,14,0
bazel-java,18,15,33,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0
cap-java-bookstore-app,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean-architecture-example,53,169,222,0,0,39,7,0,0,0,0,0,1,0,0,0,0,0,0,4,50,0,0,49,66,0,0
cleanarch,37,44,81,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,22,4,0,0
clickstream-consumer-for-apache-kafka,13,192,205,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,8,1,164,0,0,16,0,2,1
clickstream-producer-for-apache-kafka,11,248,259,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,12,3,187,0,0,41,1,3,1
cloud-asset-erp-dataloading-using-java,2,9,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2
codeSamples,5,3,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
code_samples,5,7,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
communication-services-android-calling-hero,16,31,47,0,0,8,3,0,0,1,0,0,2,0,0,0,0,0,0,1,4,0,0,22,1,3,0
core-java-ref,9,12,21,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
cqrs-lottery,97,105,202,0,0,54,7,0,0,4,0,0,25,0,0,0,0,0,0,4,32,0,14,54,1,0,0
creational-design-patterns-example,19,6,25,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
ctrader-open-api-v2-java-example,13,54,67,0,0,5,3,0,0,1,0,0,1,0,0,0,0,0,1,0,18,0,0,32,1,0,2
cybersource-rest-samples-java,25,854,879,0,0,2,23,0,0,0,0,0,0,0,0,0,0,12,3,1,131,0,0,622,80,0,5
data-box-samples,1,231,232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,229,0,0,1,0,0,0
data-engineering-for-aws-immersion-day,5,12,17,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,0,0,0
datomic-java-examples,16,91,107,0,0,8,7,0,0,0,0,0,0,0,0,0,0,1,0,1,24,0,0,65,0,0,0
day12-face-detection,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ddd,3,2,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
deadbolt-2-java-examples,22,7,29,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0
demo,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
demo-DSV-java,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
demo-java,18,97,115,0,0,5,10,0,0,1,0,0,0,0,0,0,0,1,4,0,43,0,1,42,6,0,0
effective-java-examples,87,168,255,0,0,65,9,0,0,0,0,0,2,0,0,0,0,0,0,2,162,0,0,3,0,1,0
elasticsearch,6,13,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,5,0,0,0
encog-java-examples,106,760,866,0,0,32,64,0,0,2,0,0,0,0,0,0,0,0,10,7,700,0,1,40,0,0,2
examples-java,190,216,406,0,0,143,34,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,8,72,2,0,0
feign-eureka,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
foglight-rest-api-java-sample-code,19,62,81,0,0,14,0,0,1,1,0,0,2,0,0,0,0,0,5,2,34,0,9,11,0,0,1
gateway-java-sample-code,14,106,120,0,0,7,3,0,0,3,0,0,1,0,0,0,0,1,2,2,5,0,0,80,2,5,9
gemini-function-calling,4,18,22,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0
gitstafette-explorer,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
graphql,29,45,74,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,22,0,0,0
graphql-examples,44,14,58,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0
graphql-java-examples,35,31,66,0,0,32,1,0,0,0,0,0,2,0,0,0,0,0,0,2,12,0,0,17,0,0,0
grpc-by-example-java,63,113,176,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,7,41,2,0,2
grpc-java,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gs-accessing-data-jpa,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-accessing-data-mongodb,4,1,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gs-accessing-data-mysql,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-accessing-data-neo4j,3,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gs-accessing-data-r2dbc,2,5,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
gs-accessing-data-rest,4,11,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
gs-accessing-mongodb-data-rest,4,11,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
gs-accessing-neo4j-data-rest,4,11,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
gs-accessing-vault,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-actuator-service,4,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gs-async-method,3,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
gs-authenticating-ldap,5,2,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gs-batch-processing,3,6,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0
gs-caching,8,2,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
gs-centralized-configuration,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-cloud-circuit-breaker,6,1,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gs-consuming-rest,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-consuming-web-service,3,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gs-contract-rest,14,15,29,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,3,0,0
gs-crud-with-vaadin,7,5,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
gs-gateway,3,5,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
gs-handling-form-submission,4,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gs-integration,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-managing-transactions,3,5,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
gs-messaging-jms,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-messaging-rabbitmq,2,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
gs-messaging-redis,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gs-messaging-stomp-websocket,5,4,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
gs-multi-module,6,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-producing-web-service,6,1,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gs-reactive-rest-service,2,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gs-relational-data-access,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gs-rest-hateoas,6,4,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
gs-rest-service,4,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gs-rest-service-cors,4,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gs-scheduling-tasks,2,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
gs-securing-web,5,1,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gs-service-registration-and-discovery,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-serving-web-content,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gs-spring-boot,5,1,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gs-spring-boot-docker,4,4,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
gs-spring-cloud-loadbalancer,9,15,24,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,5,2,0,0
gs-spring-cloud-stream,6,5,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
gs-spring-data-reactive-redis,4,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gs-tanzu-observability,6,4,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
