repo_name,CommitCount,DaysActive,AuthorCount,TimezoneCount,SponsoredAuthorCount,PercentageSponsoredAuthors,NumberPRs,NumberIssues,NumberPRComments,NumberIssueComments,PRCommentsPositive,PRCommentsNegative,IssueCommentsPositive,IssueCommentsNegative,PRCommentsNegativeRatio,IssueCommentsNegativeRatio,PRCommentsToxicityPercentage,IssueCommentsToxicityPercentage,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_TFN,commitCentrality_TFC,commitCentrality_NumberHighCentralityAuthors,commitCentrality_PercentageHighCentralityAuthors,AuthorActiveDays_mean,AuthorActiveDays_stdev,AuthorCommitCount_mean,AuthorCommitCount_stdev,commitCentrality_Centrality_mean,commitCentrality_Centrality_stdev,commitCentrality_Centrality_count,commitCentrality_Betweenness_mean,commitCentrality_Betweenness_count,commitCentrality_Closeness_mean,commitCentrality_Closeness_count,PRParticipantsCount_mean,PRParticipantsCount_stdev,IssueParticipantCount_mean,IssueParticipantCount_stdev,PRCommentsCount_mean,IssueCommentsCount_mean,PRDuration_mean,IssueDuration_mean,NumberReleases,ACCL,RPCPR,RPCIssue,FirstCommitDate,LastCommitDate,NumberActiveExperiencedDevs,SponsoredTFC,ExperiencedTFC
Code_Along_with_GZM__JAVA,13,1,3,1,0,0.0,4,,1,,0,0,,,0.0,,0,,,1.0,1,0,100.0,3,1.0,1.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,1.0,0.0,3,0.0,3,1.0,3,2,0.0,,,0.25,,0,,,0,0,,2022-08-13,2022-08-14,,,
JavaCodeSnippets,1,0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,2022-09-16,2022-09-16,,,
JavaLabs,19,51,2,1,0,0.0,,,,,,,,,,,,,,1.0,1,0,100.0,2,1.0,26.5,36.062445840513924,9.5,6.363961030678928,1.0,0.0,2,0.0,2,1.0,2,,,,,,,,,,,,,2019-10-31,2019-12-22,,,
VLC-SCFS004-24-0650,138,21,1,1,0,0.0,,,,,,,,,,,,,,0,1,0,100.0,1,1.0,22,0,138,0,1,0,1,0.0,1,0.0,1,,,,,,,,,,,,,2024-09-17,2024-10-08,,,
hms-push-serverdemo-java,33,1126,6,1,4,0.6666666666666666,5,19,1,15,0,0,0,1,0.0,0.0,0,0,0.8823529411764706,0.4,2,4,45.45454545454545,2,0.3333333333333333,351.3333333333333,411.94740764649396,5.5,4.03732584763727,0.4,0.28284271247461906,6,0.06666666666666668,6,0.493968253968254,6,1,1.7320508075688772,1.6842105263157894,0.5823927253578186,0.2,0.7894736842105263,1345.4,917.0526315789474,,52.06666666666667,0,0,2020-05-25,2023-06-26,0,66.66666666666666,84.84848484848484
ibm-developer-java,10,137,4,3,4,1.0,6,,0,,0,0,,,0.0,,0,,,0.16666666666666666,3,4,0.0,0,0.0,15.5,20.760539492026695,2.5,1.2909944487358056,0.16666666666666666,0.19245008972987526,4,0.0,4,0.16666666666666666,4,0.8333333333333334,0.752772652709081,,,0,,64,,,0,0,,2025-08-28,2026-01-12,,,
mongodb-java-examples,21,664,1,2,0,0.0,,,,,,,,,,,,,,0,1,0,100.0,1,1.0,665,0,21,0,1,0,1,0.0,1,0.0,1,,,,,,,,,,,,,2013-03-27,2015-01-20,,,
java8,17,2052,1,1,0,0.0,,,,,,,,,,,,,,0,1,0,100.0,1,1.0,2053,0,17,0,1,0,1,0.0,1,0.0,1,,,,,,,,,,,,,2019-03-15,2024-10-27,,,
javamoney-examples,472,4455,10,10,1,0.1,31,40,21,93,16,2,43,12,0.0,0.05,0,0,0.9565217391304348,0.28888888888888886,3,9,81.14406779661016,1,0.1,996.1,1402.639690013084,47.2,118.43967053126903,0.28888888888888886,0.23541109010475114,10,0.09999999999999999,10,0.5747268907563026,10,1.2580645161290323,0.7288228836273767,1.675,1.0472797485843368,0.6774193548387096,2.325,159.32258064516128,1270.175,12,266.8748079877112,0,0,2013-01-23,2025-04-06,0,0.211864406779661,94.70338983050848
JavaDemoJenkins,2,0,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,2023-02-02,2023-02-02,,,
