repo_name,total_design_smells,total_impl_smells,total_code_smells,God_Class,Feature_Envy,Unutilized_Abstraction,Deficient_Encapsulation,Unexploited_Encapsulation,Multifaceted_Abstraction,Insufficient_Modularization,Hub_Like_Modularization,Cyclically_Dependent_Modularization,Broken_Hierarchy,Rebellious_Hierarchy,Missing_Hierarchy,Wide_Hierarchy,Deep_Hierarchy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Empty_Catch_Clause,Long_Statement,Long_Identifier,Missing_Default,Complex_Conditional,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density,CommitCount,DaysActive,AuthorCount,TimezoneCount,NumberPRs,NumberIssues,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_NumberHighCentralityAuthors,PRParticipantsCount_mean,IssueParticipantCount_mean,IssueCommentsCount_mean,AuthorCommitCount_mean,AuthorActiveDays_mean,commitCentrality_Centrality_mean,lone_wolf,radio_silence,org_silo,dataset_version
Aspose.HTML-for-Java,156,358,514,0,0,144,5,,,,,,,,,,,0,1,1,283,0,,,,,,,,,,,,,,,,,,,,,37,2980,13,4,8.0,1.0,1.0,0.0897435897435897,7.0,0.0,1.5,2.0,1.0,2.8461538461538463,66.46153846153847,0.0897435897435897,1,0,1,V1
Aspose.PDF-for-Java,253,840,1093,0,0,172,12,,,,,,,,,,,2,6,4,634,0,,,,,,,,,,,,,,,,,,,,,301,4542,37,7,28.0,36.0,1.0,0.0765765765765765,12.0,0.0,1.6071428571428572,2.2777777777777777,2.583333333333333,8.135135135135135,167.6216216216216,0.0765765765765765,1,0,1,V1
Aspose.Slides-for-Java,593,2792,3385,0,0,540,16,,,,,,,,,,,3,13,4,2367,0,,,,,,,,,,,,,,,,,,,,,466,4712,31,4,22.0,10.0,1.0,0.1096774193548387,6.0,0.0,1.818181818181818,2.4,3.4,15.03225806451613,231.6451612903226,0.1096774193548387,1,0,1,V1
Aspose.Tasks-for-Java,137,625,762,0,0,109,10,,,,,,,,,,,1,5,3,465,0,,,,,,,,,,,,,,,,,,,,,123,4090,26,4,17.0,,,0.0738461538461538,10.0,0.0,1.7647058823529411,,,4.730769230769231,184.53846153846155,0.0738461538461538,0,0,1,V1
Aspose.Words-for-Java,1136,11957,13093,0,0,630,155,,,,,,,,,,,3,56,73,8500,0,,,,,,,,,,,,,,,,,,,,,864,5045,36,7,40.0,75.0,1.0,0.1507936507936507,5.0,0.0,1.775,2.36,4.133333333333334,24.0,430.6666666666667,0.1507936507936507,1,0,1,V1
amazon-kinesis-analytics-beam-taxi-consumer,11,18,29,0,0,6,5,,,,,,,,,,,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,83,1588,9,6,22.0,2.0,0.6666666666666666,0.2777777777777778,2.0,2.0,1.0,2.0,1.5,9.22222222222222,286.8888888888889,0.2777777777777778,0,0,0,V1
amazon-kinesis-analytics-streaming-etl,1,16,17,0,0,1,0,,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,77,1310,8,5,23.0,3.0,0.8333333333333334,0.25,3.0,1.0,0.7391304347826086,1.0,0.3333333333333333,9.625,313.75,0.25,0,0,1,V1
amazon-kinesis-data-analytics-flink-benchmarking-utility,4,29,33,0,0,2,0,,,,,,,,,,,0,0,4,8,0,,,,,,,,,,,,,,,,,,,,,14,1062,7,5,3.0,1.0,1.0,0.1428571428571428,4.0,0.0,1.3333333333333333,1.0,0.0,2.0,61.285714285714285,0.1428571428571428,1,0,1,V1
amazon-translate-pdf,4,21,25,0,0,2,1,,,,,,,,,,,0,0,2,11,0,,,,,,,,,,,,,,,,,,,,,37,1036,6,4,10.0,,,0.3333333333333333,3.0,1.0,1.1,,,6.166666666666667,188.0,0.3333333333333333,0,0,0,V1
aws-amplify-example-recipe-app-react-native,2,1,3,0,0,2,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,57,875,6,6,23.0,,,0.5333333333333333,2.0,4.0,0.8695652173913043,,,9.5,272.8333333333333,0.5333333333333334,0,0,0,V1
aws-athena-udfs-textanalytics,2,76,78,0,0,0,1,,,,,,,,,,,0,3,1,24,0,,,,,,,,,,,,,,,,,,,,,74,1103,8,6,22.0,1.0,0.75,0.3214285714285714,3.0,1.0,0.8181818181818182,2.0,2.0,9.25,190.375,0.3214285714285714,0,0,0,V1
aws-cognito-java-desktop-app,6,160,166,0,0,0,0,,,,,,,,,,,0,1,0,141,0,,,,,,,,,,,,,,,,,,,,,39,2368,15,7,7.0,10.0,0.9047619047619048,0.3142857142857143,5.0,2.0,1.7142857142857142,2.4,2.3,2.6,211.2,0.3142857142857143,1,0,0,V1
clickstream-consumer-for-apache-kafka,13,192,205,0,0,3,1,,,,,,,,,,,0,8,1,164,0,,,,,,,,,,,,,,,,,,,,,46,1812,9,6,26.0,,,0.3055555555555556,3.0,2.0,1.0384615384615383,,,5.111111111111111,443.1111111111111,0.3055555555555556,0,0,0,V1
clickstream-producer-for-apache-kafka,11,248,259,0,0,2,1,,,,,,,,,,,0,12,3,187,0,,,,,,,,,,,,,,,,,,,,,57,1823,11,7,26.0,2.0,0.7777777777777778,0.2727272727272727,4.0,2.0,1.0769230769230769,1.5,1.5,5.181818181818182,379.8181818181818,0.2727272727272727,0,0,1,V1
