repo_name,CommitCount,AuthorCount,DaysActive,TimezoneCount,NumberPRs,NumberIssues,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_NumberHighCentralityAuthors,PRParticipantsCount_mean,IssueParticipantCount_mean,IssueCommentsCount_mean,AuthorCommitCount_mean,AuthorActiveDays_mean,commitCentrality_Centrality_mean,lone_wolf,radio_silence,org_silo,total_code_smells,total_design_smells,total_impl_smells,God_Class,Feature_Envy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Unutilized_Abstraction,Deficient_Encapsulation
jnao-example,38,3,38,3,,1.0,,1.0,1.0,3.0,,2.0,8.0,12.666666666666666,14.0,1.0,0,0,0,345,86,259,0,0,3,10,3,216,0,40,17
Java-Samples,368,29,4248,12,1641.0,103.0,1.0,0.1477832512315271,7.0,0.0,3.271785496648385,2.349514563106796,1.7766990291262137,12.689655172413794,237.44827586206893,0.147783251231527,1,0,1,15,14,1,0,0,0,0,0,1,0,14,0
graphql-java-examples,54,8,1566,3,43.0,3.0,0.5,0.6071428571428571,2.0,6.0,0.5116279069767442,1.6666666666666667,0.6666666666666666,6.75,230.375,0.6071428571428571,0,0,0,66,35,31,0,0,0,0,2,12,0,32,1
grpc-java,7022,463,4052,17,,,0.0,0.0659822538872215,3.0,3.0,,,,15.166306695464362,205.34341252699784,0.0659822538872215,0,1,1,3,2,1,0,0,0,0,0,1,0,2,0
gst1-java-examples,49,5,2538,5,15.0,9.0,0.9411764705882352,0.3,2.0,1.0,1.3333333333333333,2.555555555555556,3.4444444444444446,9.8,388.6,0.3,1,0,0,307,35,272,0,0,4,3,3,223,0,31,0
JavaProject1,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
JavaTutorial,190,9,2066,1,12.0,38.0,0.9777777777777776,0.3888888888888889,3.0,1.0,1.6666666666666667,1.763157894736842,1.2894736842105263,21.11111111111111,230.55555555555557,0.3888888888888889,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0
msa-ddd-eventsourcing,70,6,60,1,18.0,6.0,-0.2,1.0,1.0,6.0,1.1666666666666667,1.5,1.0,11.666666666666666,15.666666666666666,1.0,0,0,0,94,68,26,0,0,0,0,12,2,0,56,0
JavaSamplesCode,2,1,1,1,,,,0.0,1.0,1.0,,,,2.0,2.0,1.0,0,1,0,13,5,8,0,0,0,0,0,8,0,5,0
SpringBoot-Java-Demo-application,3,1,0,1,,,,,,,,,,3.0,1.0,,0,1,0,10,6,4,0,0,0,0,0,2,0,5,1
javaplays-alchemyapi,8,2,35,2,,,,1.0,1.0,2.0,,,,4.0,16.5,1.0,0,1,0,14,12,2,0,0,0,0,0,0,0,12,0
stock-trading-with-java-isc1128,43,5,303,2,12.0,1.0,0.8333333333333334,0.6,2.0,1.0,2.1666666666666665,1.0,0.0,8.6,110.6,0.6,0,0,0,227,32,195,0,0,0,16,24,98,0,25,2
JavaWithMosh,10,1,7,1,,,,0.0,1.0,1.0,,,,10.0,8.0,1.0,0,1,0,13,2,11,0,0,0,0,0,10,0,2,0
TA-Lib-Java-Examples,4,3,1302,2,1.0,3.0,0.75,0.6666666666666666,1.0,1.0,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,435.0,0.6666666666666666,0,0,0,4,4,0,0,0,0,0,0,0,0,2,2
oracle-spatial-visualizer-demo,5,1,0,1,,,,,,,,,,5.0,1.0,,0,1,0,11,2,9,0,0,0,0,0,9,0,2,0
javazuki-sample-codes,10,2,209,1,,,,1.0,1.0,2.0,,,,5.0,105.5,1.0,0,1,0,15,8,7,0,0,0,0,0,7,0,6,1
encog-java-examples,732,9,3333,4,4.0,,,0.2777777777777778,3.0,1.0,1.5,,,81.33333333333333,512.6666666666666,0.2777777777777778,0,0,1,866,106,760,0,0,0,10,7,700,0,32,64
java-ort-example-yolov5,11,4,238,1,3.0,8.0,0.5714285714285714,0.5,2.0,3.0,1.0,2.0,3.25,2.75,28.25,0.5,0,0,0,92,8,84,0,0,0,0,6,77,0,5,1
javafx-examples,100,4,78,3,9.0,5.0,0.7142857142857143,1.0,1.0,4.0,1.8888888888888888,1.8,2.0,25.0,20.75,1.0,0,0,0,60,11,49,0,0,0,0,0,47,0,11,0
Java-Code-Samples,14,3,94,3,,,,0.3333333333333333,2.0,0.0,,,,4.666666666666667,1.0,0.3333333333333333,0,1,0,19,10,9,0,0,0,0,0,9,0,10,0
gitstafette-explorer,5,1,177,2,,,,0.0,1.0,1.0,,,,5.0,178.0,1.0,0,1,0,3,2,1,0,0,0,0,0,0,0,2,0
JavaTutorialProject,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,17,6,11,0,0,0,0,0,11,0,6,0
alfresco-api-java-examples,17,2,1325,4,2.0,5.0,0.5,1.0,1.0,2.0,1.5,1.0,0.0,8.5,663.5,1.0,0,0,0,106,93,13,0,0,0,0,1,2,0,26,30
play-demo-twitbookplus,7,1,0,1,,,,,,,,,,7.0,1.0,,0,1,0,22,12,10,0,0,0,0,2,5,0,6,5
java-clean-architecture-example,132,1,284,1,4.0,,,0.0,1.0,1.0,0.75,,,132.0,285.0,1.0,0,0,0,778,290,488,0,0,0,2,5,299,0,211,3
HapiFhirClientDemo,8,3,1603,2,2.0,,,0.3333333333333333,2.0,0.0,0.0,,,2.6666666666666665,34.333333333333336,0.3333333333333333,0,0,0,3,1,2,0,0,0,0,0,0,0,1,0
HapiFhirServiceDemo,4,1,2,1,,,,0.0,1.0,1.0,,,,4.0,3.0,1.0,0,1,0,12,4,8,0,0,0,0,1,0,0,3,1
java-coding-practice,42,3,370,1,21.0,,,1.0,1.0,3.0,1.9523809523809523,,,14.0,247.66666666666663,1.0,0,0,0,68,1,67,0,0,0,1,0,65,0,1,0
JavaRepository,1664,20,187,3,1270.0,,,0.9315789473684212,2.0,19.0,1.8913385826771651,,,83.2,54.4,0.9315789473684212,0,0,0,6,2,4,0,0,0,0,0,4,0,2,0
javaRepo,29,3,551,4,2.0,,,0.6666666666666666,1.0,1.0,1.0,,,9.666666666666666,186.66666666666663,0.6666666666666666,0,0,0,31,12,19,0,0,0,0,0,18,0,12,0
JavaBasicTutorial,9,1,45,1,,,,0.0,1.0,1.0,,,,9.0,46.0,1.0,0,1,0,104,12,92,0,0,0,0,0,92,0,12,0
Java-Appium-Master,3,2,0,1,,,,,,,,,,1.5,1.0,,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
pit-example,8,2,1715,3,2.0,,,1.0,1.0,2.0,1.5,,,4.0,858.5,1.0,0,0,0,3,1,2,0,0,0,0,0,2,0,1,0
java-demo,143,10,2022,2,6.0,7.0,1.0,0.2222222222222222,3.0,0.0,0.8333333333333334,1.5714285714285714,1.7142857142857142,14.3,394.4,0.2222222222222222,1,0,1,3,0,3,0,0,0,0,0,3,0,0,0
Core-Java---Madhura-Anturkar,2,1,0,1,,,,,,,,,,2.0,1.0,,0,1,0,1263,402,861,0,0,0,12,21,744,0,359,21
MyJavaTutorialProject,2,1,0,1,,,,,,,,,,2.0,1.0,,0,1,0,113,13,100,0,0,0,2,1,95,0,8,2
hazelcast-test,2,1,0,1,,,,,,,,,,2.0,1.0,,0,1,0,7,3,4,0,0,0,0,0,2,0,3,0
javaboy-code-samples,104,1,1465,1,43.0,7.0,0.9090909090909092,0.0,1.0,1.0,0.0,1.7142857142857142,0.8571428571428571,104.0,1466.0,1.0,1,0,0,1120,632,488,0,0,0,5,2,275,0,551,26
levelup-java-examples,592,2,955,4,37.0,1.0,0.6666666666666666,1.0,1.0,2.0,0.1351351351351351,2.0,2.0,296.0,478.5,1.0,0,0,0,2333,389,1944,0,0,0,8,2,1756,0,381,3
api,64,5,664,2,17.0,33.0,0.9782608695652174,0.4,2.0,1.0,2.411764705882353,2.121212121212121,2.212121212121212,12.8,229.8,0.4,1,0,0,63,47,16,0,0,0,0,0,1,0,38,6
kafka-producer-consumer-java-example,4,2,16,2,,,,1.0,1.0,2.0,,,,2.0,9.0,1.0,0,1,0,8,1,7,0,0,0,0,0,4,0,1,0
tensorflow-java,20,1,739,2,,2.0,,0.0,1.0,1.0,,2.0,2.5,20.0,740.0,1.0,0,0,0,14,3,11,0,0,0,0,0,7,0,3,0
Nick_JavaSampleCode,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,143,30,113,0,0,0,0,0,106,0,29,0
old_java_code,3,1,4,1,,,,0.0,1.0,1.0,,,,3.0,5.0,1.0,0,1,0,58,16,42,0,0,0,0,0,28,0,10,5
gs-rest-service-cors,128,13,1932,10,,,,0.2307692307692307,3.0,1.0,,,,9.846153846153848,222.30769230769232,0.2307692307692307,0,1,1,6,4,2,0,0,0,0,0,0,0,4,0
azure-cafe,282,4,2100,5,7.0,,,0.5,2.0,2.0,0.8571428571428571,,,70.5,945.5,0.5,0,0,0,9,2,7,0,0,0,1,0,3,0,2,0
sleuth-documentation-apps,6,1,21,1,,,,0.0,1.0,1.0,,,,6.0,22.0,1.0,0,1,0,48,11,37,0,0,0,0,1,34,0,11,0
the-legacy-app,17,3,283,2,1.0,,,1.0,1.0,3.0,2.0,,,5.666666666666667,95.33333333333331,1.0,0,0,0,30,17,13,0,0,0,0,0,8,0,13,0
effective-java-examples,7,2,1718,2,3.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,4.0,3.5,294.0,0.0,1,0,0,255,87,168,0,0,0,0,2,162,0,65,9
clean-architecture-example,125,3,44,2,4.0,10.0,0.8421052631578947,1.0,1.0,3.0,1.5,1.8,1.6,41.66666666666666,37.0,1.0,0,0,0,222,53,169,0,0,0,0,4,50,0,39,7
RssDigesterWithCouchbase,9,2,0,1,,,,,,,,,,4.5,1.0,,0,1,0,8,3,5,0,0,0,0,0,4,0,3,0
appium-java-examples,23,1,1024,2,21.0,24.0,0.5,0.0,1.0,1.0,1.0,1.0,0.1666666666666666,23.0,1025.0,1.0,0,0,0,99,20,79,0,0,0,0,0,49,0,14,1
solid,23,1,1,1,2.0,10.0,0.9166666666666666,0.0,1.0,1.0,1.0,1.1,0.1,23.0,2.0,1.0,1,0,0,40,32,8,0,0,0,0,0,7,0,26,0
sdacademy-examples,234,4,666,2,16.0,,,1.0,1.0,4.0,0.5,,,58.5,173.25,1.0,0,0,0,618,222,396,0,0,1,1,1,332,0,204,0
JavaSampleCode,17,3,90,1,,,,1.0,1.0,3.0,,,,5.666666666666667,31.0,1.0,0,1,0,183,65,118,0,0,0,1,0,114,0,59,2
graphql-examples,5,1,1,1,,,,0.0,1.0,1.0,,,,5.0,2.0,1.0,0,1,0,58,44,14,0,0,0,0,0,4,0,28,0
deadbolt-2-java-examples,47,5,1217,3,3.0,5.0,1.0,0.4,2.0,0.0,1.3333333333333333,1.6,1.6,9.4,205.4,0.4,1,0,0,29,22,7,0,0,0,0,0,1,0,19,3
Core-Java,132,1,1513,1,5.0,4.0,0.75,0.0,1.0,1.0,0.0,1.0,0.25,132.0,1514.0,1.0,0,0,0,2254,432,1822,0,0,0,9,13,1663,0,396,5
cap-java-bookstore-app,5,1,13,1,,,,0.0,1.0,1.0,,,,5.0,14.0,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Java_Tutorials-Projects,6,1,16,1,,,,0.0,1.0,1.0,,,,6.0,17.0,1.0,0,1,0,739,69,670,0,0,2,12,1,623,0,62,1
JavaApp,33,5,1841,2,,,,0.2,3.0,0.0,,,,6.6,84.6,0.2,0,1,1,16,13,3,0,0,0,0,0,1,0,5,0
JavaExamplesInterviewQuestions,22,2,0,1,,,,,,,,,,11.0,1.0,,0,1,0,46,18,28,0,0,0,0,0,25,0,18,0
JavaCode,4,2,907,1,7.0,2.0,1.0,0.0,2.0,0.0,1.2857142857142858,1.5,0.5,2.0,169.0,0.0,1,0,0,17,10,7,0,0,0,0,0,7,0,9,0
