repo_name,total_design_smells,total_impl_smells,total_code_smells,God_Class,Feature_Envy,Unutilized_Abstraction,Deficient_Encapsulation,Unexploited_Encapsulation,Multifaceted_Abstraction,Insufficient_Modularization,Hub_Like_Modularization,Cyclically_Dependent_Modularization,Broken_Hierarchy,Rebellious_Hierarchy,Missing_Hierarchy,Wide_Hierarchy,Deep_Hierarchy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Empty_Catch_Clause,Long_Statement,Long_Identifier,Missing_Default,Complex_Conditional,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOF,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density,commit_count,days_active,author_count,timezone_count,num_communities,num_tags,num_prs,num_issues,mean_author_days,mean_commits_per_author,max_commits_per_author,mean_centrality,mean_pr_participants,mean_issue_participants,mean_issue_comments,lone_wolf_indicator,radio_silence_indicator,org_silo_indicator
cybersource-rest-samples-java,25,854,879,0,0,2,23,0,0,0,0,0,0,0,0,0,0,12,3,1,131,0,0,622,80,0,5,315,958,19653.0,62.39,57.0,3.4,3.03,3.04,2.06,2.06,-0.0243,0.0,18.84,1.12,8.0,44.726,423,2670,30,4,3,0,116,15,379,14.1,165,0.2943,1.74,1.33,0.53,0,0,1
data-engineering-for-aws-immersion-day,5,12,17,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,0,0,0,9,38,237.0,26.33,25.0,4.78,3.33,4.22,1.11,1.11,-0.2994,0.0,4.89,1.13,3.0,71.73,119,2301,11,6,3,0,31,13,409.18,10.82,51,0.2909,1.71,2.15,1.85,0,0,1
datomic-java-examples,16,91,107,0,0,8,7,0,0,0,0,0,0,0,0,0,0,1,0,1,24,0,0,65,0,0,0,20,51,743.0,37.15,25.0,3.75,0.65,2.55,0.6,0.6,-0.55,0.0,13.43,1.47,5.0,144.0108,71,4645,8,5,3,0,4,3,492.25,8.88,24,0.2143,0.75,2,1,0,0,1
effective-java-examples,87,168,255,0,0,65,9,0,0,0,0,0,2,0,0,0,0,0,0,2,162,0,0,3,0,1,0,123,395,2308.0,18.76,16.0,4.27,1.4,3.21,0.63,0.63,-0.3082,0.11,4.73,1.33,7.0,110.4853,7,1718,2,2,2,1,3,1,294,3.5,5,0.0,1,4,4,1,0,0
examples-java,190,216,406,0,0,143,34,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,8,72,2,0,0,195,743,4270.0,21.9,19.0,4.19,1.16,3.81,0.55,0.55,-0.1204,0.0,4.14,1.1,4.0,95.082,549,2337,13,5,2,0,68,16,521.69,42.23,357,0.4231,1.74,2.19,2.25,0,0,0
graphql-java-examples,35,31,66,0,0,32,1,0,0,0,0,0,2,0,0,0,0,0,0,2,12,0,0,17,0,0,0,53,181,1290.0,24.34,22.0,4.08,1.96,3.42,0.55,0.55,-0.3041,0.08,5.12,1.19,4.0,51.1628,54,1566,8,3,2,0,43,3,230.38,6.75,20,0.6071,0.51,1.67,0.67,0,0,0
grpc-by-example-java,63,113,176,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,7,41,2,0,2,77,199,1786.0,23.19,16.0,3.27,1.23,2.58,0.38,0.38,-0.3457,0.0,7.79,1.27,6.0,98.5442,130,1577,12,11,2,0,112,18,213.25,10.83,51,0.303,1.24,1.44,0.94,0,0,0
gst1-java-examples,35,272,307,0,0,31,0,0,0,2,0,0,0,0,0,0,0,4,3,3,223,0,4,32,0,0,3,44,228,3344.0,76.0,48.0,10.16,5.02,5.18,0.98,0.98,-0.1178,0.0,12.68,1.96,14.0,91.8062,49,2538,5,5,2,0,15,9,388.6,9.8,26,0.3,1.33,2.56,3.44,0,0,0
hms-push-serverdemo-java,65,109,174,0,0,34,1,0,5,6,0,0,1,0,0,0,0,0,2,2,42,0,0,63,0,0,0,80,710,4318.0,53.98,30.0,10.22,6.11,8.88,2.81,2.81,0.185,0.1,4.49,1.15,23.0,40.2964,33,1126,6,1,2,0,5,19,351.33,5.5,11,0.4,1,1.68,0.79,0,0,0
integration-sample-lambda-msk,1,21,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,0,0,3,12,136.0,45.33,38.0,7.0,4.0,4.0,1.33,1.33,0.1667,0.0,9.33,1.75,6.0,161.7647,43,1734,10,6,3,0,20,2,194.6,4.3,9,0.2,1.2,2,1.5,0,0,1
