repo_name,commit_count,days_active,author_count,timezone_count,num_communities,num_tags,num_prs,num_issues,mean_author_days,mean_commits_per_author,max_commits_per_author,mean_centrality,mean_pr_participants,mean_issue_participants,mean_issue_comments,lone_wolf_indicator,radio_silence_indicator,org_silo_indicator
azure-sql-db-sync-api-change-tracking,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdn-dotnet-manage-cdn,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean-architecture-example,125,44,3,2,1,0,4,10,37,41.67,96,1.0,1.5,1.8,1.6,0,0,0
clickstream-consumer-for-apache-kafka,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickstream-producer-for-apache-kafka,57,1823,11,7,4,0,26,2,379.82,5.18,14,0.2727,1.08,1.5,1.5,0,0,1
cognitive-services-python-sdk-samples,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compute-dotnet-manage-vm-async,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos-dotnet-core-getting-started,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ctrader-open-api-v2-java-example,31,2057,10,4,4,0,13,8,396.6,3.1,11,0.2222,1.38,2,2.38,0,0,1
cybersource-rest-samples-java,423,2670,30,4,3,0,116,15,379,14.1,165,0.2943,1.74,1.33,0.53,0,0,1
data-engineering-for-aws-immersion-day,119,2301,11,6,3,0,31,13,409.18,10.82,51,0.2909,1.71,2.15,1.85,0,0,1
datomic-java-examples,71,4645,8,5,3,0,4,3,492.25,8.88,24,0.2143,0.75,2,1,0,0,1
dns-dotnet-host-and-manage-your-domains,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durablefunctions-apiscraping-dotnet,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edge_diffusion_on_eks,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
effective-java-examples,7,1718,2,2,2,1,3,1,294,3.5,5,0.0,1,4,4,1,0,0
eventhub-dotnet-manage-event-hub,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eventhub-dotnet-manage-event-hub-events,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
examples-java,549,2337,13,5,2,0,68,16,521.69,42.23,357,0.4231,1.74,2.19,2.25,0,0,0
fedramp-integrated-inventory-workbook,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
functions-docs-csharp,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
functions-docs-javascript,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
graphql-java-examples,54,1566,8,3,2,0,43,3,230.38,6.75,20,0.6071,0.51,1.67,0.67,0,0,0
grpc-by-example-java,130,1577,12,11,2,0,112,18,213.25,10.83,51,0.303,1.24,1.44,0.94,0,0,0
gst1-java-examples,49,2538,5,5,2,0,15,9,388.6,9.8,26,0.3,1.33,2.56,3.44,0,0,0
hms-push-serverdemo-java,33,1126,6,1,2,0,5,19,351.33,5.5,11,0.4,1,1.68,0.79,0,0,0
integration-sample-lambda-msk,43,1734,10,6,3,0,20,2,194.6,4.3,9,0.2,1.2,2,1.5,0,0,1
iothub-to-azure-maps-geofencing,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java_examples,14,1871,3,2,1,0,1,1,624.67,4.67,10,0.6667,2,2,5,0,0,0
key-vault-dotnet-manage-key-vaults,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lambdaedge-openidconnect-samples,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
levelup-java-examples,592,955,2,4,1,0,37,1,478.5,296,591,1.0,0.14,2,2,1,0,0
ms-identity-android-java,112,2221,28,8,7,0,75,26,100.64,4,32,0.0952,1.88,1.81,1.42,0,0,1
ms-identity-android-kotlin,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msa-ddd-eventsourcing,70,60,6,1,1,0,18,6,15.67,11.67,23,1.0,1.17,1.5,1,0,0,0
neow3j-examples-java,351,2616,9,6,3,0,20,20,651.11,39,134,0.3333,1.85,2.4,3.05,0,0,1
network-dotnet-manage-ip-address,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network-dotnet-manage-network-interface,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network-dotnet-manage-network-peering,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network-dotnet-manage-virtual-network,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network-dotnet-manage-virtual-network-async,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reactive-refarch-cloudformation,130,2370,8,5,3,10,23,2,549.25,16.25,102,0.4643,1.35,2,2.5,0,0,1
redisson-examples,24,2871,7,5,4,0,7,22,499,3.43,15,0.1429,1.43,1.64,1.5,0,0,1
search-dotnet-getting-started,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
