repo_name,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOF,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density
spark-cassandra-java-example,6,86,410.0,68.33,33.0,15.5,4.0,14.33,1.17,1.17,0.1807,0.0,4.7,1.08,2.0,78.0488
spring-javafx-examples,41,40,248.0,6.05,5.0,1.05,0.44,0.98,0.73,0.73,-0.7902,0.1,3.6,1.07,2.0,177.4194
springBoot-java,2,3,12.0,6.0,6.0,1.5,0.0,1.5,0.5,0.5,-1.0,0.0,2.67,1.0,1.0,83.3333
stock-trading-with-java-isc1128,33,180,3748.0,113.58,126.0,13.42,0.97,5.45,0.61,0.61,-0.6128,0.0,20.28,2.46,10.0,60.5656
structural-design-pattern-example,27,50,260.0,9.63,9.0,1.85,0.37,1.85,0.81,0.81,-0.7037,0.7,3.82,1.0,1.0,130.7692
syok_with_java,20,42,247.0,12.35,9.0,2.45,0.55,2.1,0.4,0.4,-0.7,0.3,4.52,1.17,4.0,141.7004
taketoday-tutorial4j,14168,50026,309204.0,21.82,14.0,4.1,1.17,3.53,0.64,0.64,-0.412,2.67,5.03,1.16,34.0,112.4856
telegram-bot,11,16,124.0,11.27,6.0,1.91,1.82,1.45,0.64,0.64,-0.4545,0.09,4.88,1.31,6.0,88.7097
tensorflow-example-java,18,96,633.0,35.17,29.5,6.56,2.5,5.33,1.06,1.06,-0.0769,0.0,4.81,1.23,5.0,66.3507
tensorflow-java,3,36,191.0,63.67,48.0,13.33,0.67,12.0,0.0,0.0,0.1032,0.0,4.94,1.11,3.0,73.2984
tensorflow-java-examples-spring,25,135,820.0,32.8,27.0,6.4,2.08,5.4,0.96,0.96,-0.2274,0.04,4.58,1.19,5.0,58.5366
test-spring4-apps,1,2,8.0,8.0,8.0,2.0,0.0,2.0,1.0,1.0,-1.0,0.0,3.0,1.0,1.0,0.0
testcontainers.testcontainers-java-examples,20,36,356.0,17.8,15.5,1.9,1.85,1.8,0.6,0.6,-0.3625,0.1,5.64,1.06,2.0,123.5955
the-legacy-app,21,34,351.0,16.71,11.0,2.14,0.9,1.62,0.86,0.86,-0.5442,0.14,6.56,1.32,5.0,85.4701
timrsyncclient,5,10,95.0,19.0,9.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,178.9474
tut-rest,36,114,560.0,15.56,5.0,3.53,0.83,3.17,1.08,1.08,-0.5886,0.0,4.02,1.11,3.0,92.8571
tutorial,59,317,1910.0,32.37,19.0,5.88,1.41,5.37,1.29,1.29,-0.1976,0.0,3.44,1.09,6.0,27.7487
